"V1","V2","V3","V4","V5","V6"
1,0.632411122583846,1,0.914196105546669,1,0.700797062762117
1,0.624242480863487,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.616073839143128,0,0,0,0
1,0.607905197422769,1,1,1,1
1,0.59973655570241,1,0.914196105546669,1,0.700797062762117
1,0.591567913982051,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.583399272261692,0,0,0,0
1,0.575230630541333,1,1,1,1
1,0.567061988820974,1,0.914196105546669,1,0.700797062762117
1,0.558893347100615,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.550724705380256,0,0,0,0
1,0.542556063659897,1,1,1,1
1,0.534387421939538,1,0.914196105546669,1,0.700797062762117
1,0.526218780219179,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.51805013849882,0,0,0,0
1,0.509881496778461,1,1,1,1
1,0.501712855058102,1,0.914196105546669,1,0.700797062762117
1,0.493544213337743,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.485375571617385,0,0,0,0
1,0.477206929897026,1,1,1,1
1,0.469038288176667,1,0.914196105546669,1,0.700797062762117
1,0.460869646456308,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.452701004735949,0,0,0,0
1,0.44453236301559,1,1,1,1
1,0.436363721295231,1,0.914196105546669,1,0.700797062762117
1,0.428195079574872,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.420026437854513,0,0,0,0
1,0.411857796134154,1,1,1,1
1,0.403689154413795,1,0.914196105546669,1,0.700797062762117
1,0.395520512693436,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.387351870973077,0,0,0,0
1,0.379183229252718,1,1,1,1
1,0.371014587532359,1,0.914196105546669,1,0.700797062762117
1,0.362845945812,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.354677304091641,0,0,0,0
0.986331562772226,0.350592983231461,1,1,1,1
0.972663125544452,0.346508662371282,1,0.914196105546669,1,0.700797062762117
0.958994688316678,0.342424341511102,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.940770105346313,0.339701460937649,0,0,0,0
0.929835355564093,0.334800275905434,1,1,1,1
0.91616691833632,0.330715955045255,1,0.914196105546669,1,0.700797062762117
0.907054626851137,0.325270193898349,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.897942335365954,0.319824432751443,0,0,0,0
0.888830043880771,0.314378671604537,1,1,1,1
0.867416158890592,0.312608799231792,1,0.914196105546669,1,0.700797062762117
0.844705524727522,0.311226413709885,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.819853820677024,0.310483809917125,0,0,0,0
0.546485076121544,0.302315168196766,1,1,1,1
0.524054820158018,0.300849001734138,1,0.914196105546669,1,0.700797062762117
0.524054820158018,0.292680360013779,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.501843609662885,0.291148739691212,0,0,0,0
0.501843609662885,0.282980097970853,1,1,1,1
0.479658684623959,0.281440623185093,1,0.914196105546669,1,0.700797062762117
0.457527562628208,0.279885071294985,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.437227631220041,0.277782333959227,0,0,0,0
0.437227631220041,0.269613692238868,1,1,1,1
0.437227631220041,0.261445050518509,1,0.914196105546669,1,0.700797062762117
0.437227631220041,0.25327640879815,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.437227631220041,0.245107767077791,0,0,0,0
0.437227631220041,0.236939125357432,1,1,1,1
0.437227631220041,0.228770483637073,1,0.914196105546669,1,0.700797062762117
0.437227631220041,0.220601841916714,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.437227631220041,0.212433200196355,0,0,0,0
0.437227631220041,0.204264558475996,1,1,1,1
0.437227631220041,0.196095916755637,1,0.914196105546669,1,0.700797062762117
0.437227631220041,0.187927275035278,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.437227631220041,0.179758633314919,0,0,0,0
0.437227631220041,0.17158999159456,1,1,1,1
0.437227631220041,0.163421349874201,1,0.914196105546669,1,0.700797062762117
0.437227631220041,0.155252708153842,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.437227631220041,0.147084066433483,0,0,0,0
0.437227631220041,0.138915424713124,1,1,1,1
0.423559193992267,0.134831103852945,1,0.914196105546669,1,0.700797062762117
0.396222319536719,0.134831103852945,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.368885445081171,0.134831103852945,0,0,0,0
0.341548570625623,0.134831103852945,1,1,1,1
0.314211696170075,0.134831103852945,1,0.914196105546669,1,0.700797062762117
0.300543258942301,0.130746782992765,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.286874821714527,0.126662462132586,0,0,0,0
0.259537947258979,0.126662462132586,1,1,1,1
0.259537947258979,0.118493820412227,1,0.914196105546669,1,0.700797062762117
0.259537947258979,0.110325178691868,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.232201072803431,0.110325178691868,0,0,0,0
0.223088781318249,0.104879417544962,1,1,1,1
0.209420344090475,0.100795096684782,1,0.914196105546669,1,0.700797062762117
0.195751906862701,0.0967107758246026,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.168415032407153,0.0967107758246026,0,0,0,0
0.141078157951605,0.0967107758246026,1,1,1,1
0.127409720723831,0.0926264549644232,1,0.914196105546669,1,0.700797062762117
0.118297429238648,0.0871806938175171,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.111463210624761,0.081054212527248,0,0,0,0
0.111463210624761,0.072885570806889,1,1,1,1
0.111463210624761,0.06471692908653,1,0.914196105546669,1,0.700797062762117
0.111463210624761,0.056548287366171,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.111463210624761,0.0483796456458121,0,0,0,0
0.0977947733969873,0.0442953247856326,1,1,1,1
0.0704578989414393,0.0442953247856326,1,0.914196105546669,1,0.700797062762117
0.0613456074562567,0.0388495636387266,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.052233315971074,0.0334038024918206,0,0,0,0
0.0431210244858914,0.0279580413449146,1,1,1,1
0.0340087330007087,0.0225122801980087,1,0.914196105546669,1,0.700797062762117
0.020502655841661,0.0183794438708077,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
0.00911229148518265,0.013614402867265,0,0,0,0
0,0.00816864172035903,1,1,1,1
0,0,1,0.914196105546669,1,0.700797062762117
